"Condition","Rate.Happiness.","Rate.Meaningfulness.","What.company.was.the.advertisement.for."
"nonparents2",9,9,"google"
"nonparents1",9,9,"Google Chrome"
"nonparents2",10,10,"I don't remember I was watching the girl grow "
"nonparents1",8,10,"google"
"nonparents1",9,9,"Google"
"nonparents1",10,10,"Google Chrome "
"nonparents2",7,7,"Google"
"nonparents1",7,6,"Google"
"nonparents1",2,1,"Google"
"nonparents2",8,8,"Google"
"nonparents2",5,3,"Google"
"nonparents1",6,6,"Not sure"
"nonparents2",10,10,"Google Chrome"
"nonparents1",7,9,"google"
"nonparents2",1,1,"Google"
"nonparents2",8,9,"NO"
"nonparents1",2,2,"."
"parents",6,6,"Google"
"parents",3,2,"Google (Chrome, gmail, etc.)"
"parents",8,10,"Google Chome"
"parents",4,4,"My mom's lemonade stand"
"parents",7,8,"Chrome"
"parents",8,6,"Chrome"
"parents",10,10,"Google web based services "
"parents",10,10,"Google"
"parents",6,8,"Google "
"parents",1,1,"naa"
"parents",6,6,"?"
"parents",10,10,"Google chrome You Tube"
"parents",5,5,"do not know"
"parents",7,7,"google chrome"
"parents",8,8,"Chrome"
"parents",7,7,"google"
"parents",10,10,"Helping children"
"parents",10,10,"Google"
"parents",10,10,"gmail"
"parents",10,10,"Google chrome"
"parents",1,1,"Google"
"parents",5,7,"Google"
"parents",9,9,"google"
"parents",8,7,"Google (Chrome)"
"parents",10,6,"Google Chrome"
"parents",8,8,"Google"
"parents",9,10,"Google"
"parents",6,5,"g"
"parents",9,9,"Google"
"parents",7,8,"Google Chrome"
"parents",9,10,"Google Chrome "
"parents",9,9,"Google"
"parents",8,9,"Google gmail"
"parents",1,1,"att"
"parents",8,10,"Google"
"parents",8,10,"Google Chrome & Subsequent Services It Offers"
"parents",8,9,"google"
"parents",4,3,"Google"
"parents",8,8,"google chrome"
"parents",10,10,"Google"
"parents",5,5,"unsure"
"parents",7,7,"google (abc)"
"parents",8,8,"gmail"
"parents",8,10,"Google/Gmail"
"parents",10,10,"Google"
"parents",10,10,"Google"
"parents",8,9,"google"
"parents",10,10,"Google Chrome"
"parents",9,9,"Google"
"parents",3,8,"Chrome "
"parents",8,8,"google"
"parents",6,8,"google"
"parents",5,6,"don't remember"
"parents",6,8,"Google Chrome"
"parents",9,9,"google"
"parents",8,8,"Chrome, Google, gmail"
"parents",8,10,"Google Chrome "
"parents",8,7,"Chrome "
"parents",9,7,"google chrome"
"parents",7,7,"google apps "
"parents",10,8,"Google"
"parents",10,10,"Google"
"parents",9,9,"Google"
"parents",4,8,"google chrome"
"parents",10,10,"Google"
"parents",6,8,"Google"
"parents",10,8,"Google chrome"
"parents",10,10,"chrome"
"parents",1,1,"Google"
"parents",10,10,"chrome by google"
"parents",8,9,"Chrome"
"parents",8,8,"Google chrome"
"parents",9,10,"google"
"parents",8,7,"Google"
"parents",8,6,"google"
